"原名称","归入","源文件数","源大小MB","目标文件数","目标大小MB","校验"
"一些开发资料","01_课程学习","187","80.2","187","80.2","一致"
"SW6306资料","02_SW6306项目","80","183.6","80","183.6","一致"
"sw6306_pdf","02_SW6306项目","116","25.2","116","25.2","一致"
"一些txt文件部分心得体会","02_SW6306项目","16","0.8","16","0.8","一致"
"SW6306V璧勬枡","02_SW6306项目","0","0","0","0","一致"
"ESP32P4开发、","03_ESP32与机械臂","3","0","3","0","一致"
"机械臂","03_ESP32与机械臂","112","75.6","112","75.6","一致"
"客户_蛇需要建模推的需要改图纸","04_机械图纸","5","0.6","5","0.6","一致"
"田禾技术有限公司","04_机械图纸","8","0.8","8","0.8","一致"
"面试相关资料","05_求职实习","9","1.9","9","1.9","一致"
"实习记录","05_求职实习","2","4.8","2","4.8","一致"
"资料","05_求职实习","42","96.4","42","96.4","一致"
"AI对话知识库","06_AI对话","2","0","2","0","一致"
"Claude对话记录","06_AI对话","7","0","7","0","一致"
"ESP32P4架构理解.md","03_ESP32与机械臂\散落文件","1","0","1","0","一致"
"xal1010 (1).pdf","07_待归档","1","0.2","1","0.2","一致"
"~$BOM表.doc","07_待归档\临时文件","1","0","1","0","一致"
